document_index	document	synthetic_query	__index_level_0__	Context_Relevance_Label	generated_answer	Answer_Faithfulness_Label	Answer_Relevance_Label
1407	"Angus MacLane was one of the first people to whom Stanton revealed his idea for the sequel. Together, with Bob Peterson, they discussed about different ideas for places Dory would visit during her journey — one of those ideas was the touch pool sequence. Later, during the ""Brave"" (2012) wrap party, Stanton invited Angus to join him in his first co-directing duty. Stanton described Angus' role as a ""jack of all trades"", particularly utilizing his experience in animation and story, as well as in production, having created a few short films himself."	Angus MacLane has experience in animation.	4226.0	Yes	REFUTES	No	No
5276	"Jason Bourne is a 2016 American action thriller film directed by Paul Greengrass and written by Paul Greengrass and Christopher Rouse. It is the fifth and final installment of the ""Bourne"" film series and a direct sequel to ""The Bourne Ultimatum"" (2007). Matt Damon reprises his role as the main character, former CIA assassin Jason Bourne. In addition, the film stars Tommy Lee Jones, Alicia Vikander, Julia Stiles, Vincent Cassel, Riz Ahmed, Ato Essandoh and Scott Shepherd."	Jason Bourne is a film.	9408.0	Yes	REFUTES	No	No
21377	A near-Earth object (NEO) is any small Solar System body whose orbit brings it to proximity with Earth. By convention, a Solar System body is a NEO if its closest approach to the Sun (perihelion) is less than 1.3 astronomical units (AU). If a NEO's orbit crosses the Earth's and the object is larger than across, it is considered a potentially hazardous object (PHO). Most known PHOs and NEOs are asteroids, but a small fraction are comets.	A NEO is a type of small Solar System body.	9743.0	Yes	REFUTES	No	No
17936	"On October 12, 2014, at Mipcom, Constantin confirmed that ""The Mortal Instruments"" will return as a television series with Ed Decter as showrunner. Constantin Film and TV head Martin Moszkowicz told ""The Hollywood Reporter"" that, ""It actually makes sense to do [the novels] as a TV series. There was so much from the book that we had to leave out of the ""Mortal Instruments"" film. In the series we'll be able to go deeper and explore this world in greater detail and depth."" The producers hope to adapt the entire book series if the TV adaptation proves successful. In February 2015, book series author Cassandra Clare announced via Twitter that the television series would be called ""Shadowhunters"" rather than ""The Mortal Instruments"". In March 2015, ABC Family picked up ""Shadowhunters"" straight-to-series. The series was renewed for a second season in March 2016, consisting of 20 episodes, which premiered on January 2, 2017. In April 2017, it was announced that the series was renewed for a third season of 20 episodes. The first half of ten episodes premiered on March 20, 2018. On June 4, 2018, Freeform canceled the series after three seasons, but ordered two extra episodes to properly conclude the series' story; the second half of the third season premiered on February 25, 2019."	Shadowhunters was a television series.	8546.0	Yes	SUPPORTS	Yes	Yes
1940	"The son of a naval officer, McCain grew up in Washington, D.C., and graduated from the U.S. Naval Academy in 1931, after which he entered the submarine service. During World War II he commanded submarines in several theaters of operation, was responsible for sinking several Japanese ships, and was decorated with both the Silver Star and Bronze Star. After the war, he held a variety of commands, specializing in amphibious warfare. He led the 1965 U.S. invasion of the Dominican Republic. He also served in several posts in Washington, including the Legislative Affairs Office and Chief of Naval Information, where he became influential in political affairs. He was a staunch anti-Communist, and was such an advocate of a strong naval presence that he became known as ""Mr. Seapower""."	Amy Winehouse died of alcohol poisoning.		No			
19760	"On Rotten Tomatoes the film holds an approval rating of 20% based on 117 reviews, and an average rating of 4.4/10. The website's critical consensus reads, """"The Beach"" is unfocused and muddled, a shallow adaptation of the novel it is based on. Points go to the gorgeous cinematography, though."" On Metacritic, the film has a weighted average score of 43 out of 100, based on 34 critics, indicating ""mixed or average reviews""."	The Beach has a critical consensus on Rotten Tomatoes.	1511.0	Yes	REFUTES	No	No
19016	"""Pete Najarian writes prose in the very particular American tradition that includes Thomas Wolfe, William Saroya, and Jack Kerouac. ""The Naked & The Nude"" is, by my count, the seventh volume in his epic autobiographical narrative that works the territory between lyrical autobiography and the novel to tell his story and the story of his generation. Najarian’s subject—like Wolfe’s Saroyans, Kerouac’s—is the male artist and the unsortable way in which a mix of sexual hunger and literary ambition, the hunger for a home and a belief in the transformative power of art, become both a wound and a way in the world."	Pete Najarian is an author.	683.0	Yes	REFUTES	No	No
18270	"This was followed by the television film ""Lord of Misrule"", filmed in Fowey, Cornwall, which also featured Richard Wilson, Emily Mortimer and Prunella Scales. In 1997, Moyer made his big-screen debut landing the lead role in the film adaptation of the long-running comic strip ""Prince Valiant"" by Hal Foster, working alongside Ron Perlman and Katherine Heigl. From 2 October 2017, he starred as Reed Strucker, the lead role in Fox series ""The Gifted""."	Aunt May is a real person.		No			
19760	"On Rotten Tomatoes the film holds an approval rating of 20% based on 117 reviews, and an average rating of 4.4/10. The website's critical consensus reads, """"The Beach"" is unfocused and muddled, a shallow adaptation of the novel it is based on. Points go to the gorgeous cinematography, though."" On Metacritic, the film has a weighted average score of 43 out of 100, based on 34 critics, indicating ""mixed or average reviews""."	The film has a weighted average score on Metacritic.	1488.0	Yes	SUPPORTS	Yes	Yes
11125	The Beach is a 2000 drama thriller film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland, which was adapted for the film by John Hodge. The film stars Leonardo DiCaprio, Tilda Swinton, Virginie Ledoyen, Guillaume Canet, and Robert Carlyle. It was filmed on the Thai island Koh Phi Phi.	Roland Emmerich is a film director.		No			
